questionTitle,questionId,answerText,answerHtml,superCategory,category,questionTags,synonyms
What is lot size and cutoff price in an IPO?,what-is-lot-size-and-cutoff-price-in-an-ipo,"It is the minimum number of shares that an investor has to apply for. This is known as the IPO bid lot or market lot size or minimum order quantity. n n Example: IPO of company ABC has a market lot size of 100 shares. So an investor can apply for 100 shares, or 200 shares, or 300 shares, and so on.nnThe cutoff price is the maximum price for a particular IPO. Eg. price range for ABC company's IPO is Rs 100-105 then Rs 105 is the cutoff price.",,Stocks,SX_IPO,Before Applying,"0"""
What is stamp duty?,what-is-stamp-duty,,"<p>It is charged by the government for the contract note, applicable on buy orders only. For equity delivery: 0.015% For equity intraday: 0.003%</p>",Stocks,SX_PRICING,Regulatory Charges,"charges, prices, stocks charges, transaction charges, stamp duty, """
What is stocks margin used in Groww Balance?,what-is-stocks-margin-used-in-groww-balance,,"This is the margin that you have already used for your trading.nnAfter settlement, you will be able to see this in the evening as Paid for Stock"" or "" Received from Stock"".""",Stocks,SX_MARGIN,Margin,"shares, equity, holdings """
What is stocks margin?,what-is-stocks-margin,,"Margin is the money you borrow from Groww (broker) to trade in stocks. nWith the margin feature on Groww, you are able to buy stocks for as low as 15% of the total value of the stock.",Stocks,SX_MARGIN,Margin,"grow, platform, website, site, shares, equity, holdings """
What is the charge for buy order (delivery)?,what-is-the-charge-for-buy-order-delivery,Groww gives you the best stock investing experience at a low charge. nnSTT Charges: 0.1% nExchange Transaction Charges: 0.00325% (NSE) or 0.003% (BSE) nSEBI Turnover Charges: 0.00005% nStamp Duty: 0.015% nBrokerage: Rs 20 or 0.05% per order (whichever is lower) nnTry our brokerage calculator to understand charges better. Press the button below to know more about our pricing.,,Stocks,SX_PRICING,Transaction Charges,"charges, prices, stocks charges, transaction charges, delivery charges, """
What is the charge for sell order (delivery)?,what-is-the-charge-for-sell-order-delivery,Groww gives you the best stock investing experience at a low charge. nnSTT Charges: 0.1% nExchange Transaction Charges: 0.00325% (NSE) or 0.003% (BSE) nSEBI Turnover Charges: 0.00005% nStamp Duty: 0.015% nBrokerage: Rs 20 or 0.05% per order (whichever is lower) nDP charge: Rs.13.5 + 18% GST (per company per trading day)nnTry our brokerage calculator to understand charges better. Press the button below to know more about our pricing.,,Stocks,SX_PRICING,Transaction Charges,"charges, prices, stocks charges, transaction charges, delivery charges, """
What is the difference between realised and unrealised returns?,what-is-the-difference-between-realised-and-unrealised-returns-1,,"Realised returns is the return you have made after actually selling your stocks. nUnrealised return, on the other hand, is the return you can make if you sell your stocks.",Stocks,SX_DASHBOARD,Delivery Positions,""""
When will I get the money after selling stocks?,when-will-i-get-the-money-after-selling-stocks,,"As per SEBI guidelines, the money will get credited to your Groww Balance 2 working days after your transaction (T+2 days). nn",Stocks,SX_FAQ,DEFAULT,"receive, balance, rs, rupees, amount, cash, funds, shares, equity, holdings, redeem, redemption, withdraw, take out money, take out, draw out """
When will I receive my profits for the day?,when-will-i-receive-my-profits-for-the-day,"If you have taken any positions today and squared off in the same day, then your profit amount will get unblocked on the next market session (T+1) after market closes.",null,Stocks,SX_MARGIN,Intraday Profit,"unable, see, profit, intraday"""
When will corporate action reflect in my holdings?,when-will-corporate-action-reflect-in-my-holdings-1,,It will reflect on the execution date. After the delivery date it will start reflecting in your holdings.,Stocks,SX_DASHBOARD,Holdings,""""
Why are some of my shares locked?,why-are-some-of-my-shares-locked-1,,"<p>Your shares might be locked due to any one of the following reasons: - You may have pledged your shares, hence you are not allowed to sell the order.&nbsp;</p>n<p>If you are sure this isn't the case, please raise a ticket by pressing the button below.&nbsp;</p>",Stocks,SX_DASHBOARD,Holdings,"stocks, equity, holdings """
Why do I have to verify holdings with TPIN?,why-do-i-have-to-verify-holdings-with-tpin-1,,"Effective from 18 Feb 2021, youâ€™ll have to enter TPIN and OTP received on your registered mobile number while verifying your holdings before selling. (Validity: 1 day)nnTo generate a new TPIN, please click on the button below.nnYou can find your BOID in YOU --> Personal Details (16 digit number)",Stocks,SX_DASHBOARD,Holdings,"PIN, T PIN, password to sell, PIN to sell"""
Why is my intraday profit amount blocked?,why-is-my-intraday-profit-amount-blocked,"The intraday buy-sell profit amount has been blocked as per SEBI regulations, which will be released on the next market session (T+1) after the market closes.",null,Stocks,SX_MARGIN,Intraday Profit,"unable, see, profit, intraday"""
Are there any benefits of renewing Bajaj Finance FD?,are-there-any-benefits-of-renewing-bajaj-finance-fd,Yes. An additional rate of 0.10% p.a. (for deposit size up to â‚¹5 Crore) is applicable on renewal.,,FDs,DP_FD_ORDERS,Bajaj Finance,"renewing Bajaj Finance fd, starting again Bajaj Finance fd, redo fd, restart fd"""
Can I import my external fixed deposits into Groww?,can-i-import-my-external-fixed-deposits-into-groww,"Currently, we do not have that feature. We will notify you if external fixed deposit importing is introduced on Groww.",,FDs,DP_FD_ABOUT,Getting Started,"move fd, transfer fd, import fd, track fd"""
Can I register nominee for my FD?,can-i-register-nominee-for-my-fd,"Yes, you can register a nominee while onboarding for fixed deposits.",,FDs,DP_FD_ABOUT,Getting Started,"add nominee, family, parent, spouse, husband, wife, child, son, daughter, join nominee, apply for nominee, I want to change"""
Can I withdraw a tax-saver FD before the maturity date?,can-i-withdraw-a-tax-saver-fd-before-the-maturity-date,"No, you canâ€™t withdraw tax-saver deposits as they have a lock-in period of 5 years (minimum).",,FDs,DP_FD_WITHDRAW,Tax Saver,"break lock-in, take out money, before maturity date, before date, """
Can I withdraw my Bajaj Finance FD through Groww?,can-i-withdraw-my-bajaj-finance-fd-through-groww,"Currently, you can't withdraw Bajaj Finance FD online through Groww.",,FDs,DP_FD_WITHDRAW,Bajaj Finance,"withdraw, break fd, cancel fd, stop fd, """
Can I withdraw my fixed deposit before maturity?,can-i-withdraw-my-fixed-deposit-before-maturity,Premature withdrawal of fixed deposits is not allowed for tax-saver deposits and monthly interest payout deposits.nnAny other type of fixed deposit can be withdrawn before maturity. Please refer to the â€˜FD Detailsâ€™ section of any fixed deposit for premature penalty information.,,FDs,DP_FD_WITHDRAW,DEFAULT,"break lock-in, take out money, before maturity date, before date, """
Can the Bajaj Finance FD be shown for tax exemption?,can-the-bajaj-finance-fd-be-shown-for-tax-exemption,Bajaj Finance's FD investment cannot be shown as an investment under section 80C for tax deduction benefit.,,FDs,DP_FD_TAXATION,Bajaj Finance,"deposit, rd, section 80c, """
Do I need a savings account with the bank for opening a fixed deposit?,do-i-need-a-savings-account-with-the-bank-for-opening-a-fixed-deposit,"No, you can open a fixed deposit with any of the available banks on Groww without having any prior relationship or a savings account with that bank.",,FDs,DP_FD_ABOUT,Getting Started,same bank
How do I get the fixed deposit advice/proof?,how-do-i-get-the-fixed-deposit-advice-proof,Fixed deposit advice/proof will be sent to your registered email address within 1 working day of issuance of your fixed deposit.,,FDs,DP_FD_ORDERS,DEFAULT,
How do I submit form 15G/H?,how-do-i-submit-form-15g-h,It has to be done in the bank branch as of now. Coming soon on Groww!,,FDs,DP_FD_TAXATION,Form 15G/15H,
How do I track my FD transaction?,how-do-i-track-my-fd-transaction,"Press the 'MY ORDERS' button below to see your FD transactions. nnNote: If the amount has been deducted from your account but is not reflecting, then it will be refunded back to your account in 2-3 working days.",,FDs,DP_FD_ORDERS,Payment,
How frequently is TDS deducted for Bajaj Finance Limited FD?,how-frequently-is-tds-deducted-for-bajaj-finance-limited-fd,It is deducted on a quarterly basis.,,FDs,DP_FD_TAXATION,Bajaj Finance,
How many fixed deposits can I open?,how-many-fixed-deposits-can-i-open,"If your KYC is verified, you can open as many fixed deposits as you wish. However, till your KYC is under process, you can place only one order for opening a fixed deposit.",,FDs,DP_FD_ABOUT,About,
How much time does it take to open a fixed deposit?,how-much-time-does-it-take-to-open-a-fixed-deposit,"Opening a fixed deposit is subject to KYC verification. nnUsually, it gets verified the same day as the payment or the next working day.",,FDs,DP_FD_ABOUT,Getting Started,
How to access to FD investing on Groww?,how-to-access-to-fd-investing-on-groww,"We are gradually rolling out FD on Groww to all our users. nnIf you want access to fixed deposit (FD) investment on Groww, please fill the form by pressing the button below. ",,FDs,DP_FD_ABOUT,Getting Started,
How to change my bank account details for Bajaj Finance FD?,how-to-change-my-bank-account-details-for-bajaj-finance-fd,Download the 'change of bank details form' by pressing the 'DOWNLOAD FORM' button below and submit it at your nearest branch. The list of branches is available on Bajaj Finance website.,,FDs,DP_FD_ORDERS,Bajaj Finance,
How to change my nominee in an FD?,how-to-change-my-nominee-in-an-fd,"To change the nominee in case of FDs that are already started, you will have to contact the bank with whom you have an FD directly. ",,FDs,DP_FD_HOW_TO,DEFAULT,
How to get a TDS certificate for my fixed deposit?,how-to-get-a-tds-certificate-for-my-fixed-deposit,You can download the TDS certificate from the bankâ€™s website/app via net banking.,,FDs,DP_FD_TAXATION,DEFAULT,
How to open a fixed deposit using Groww?,how-to-open-a-fixed-deposit-using-groww,#NAME?,,FDs,DP_FD_HOW_TO,DEFAULT,
How to track the KYC status of FD?,how-to-track-the-kyc-status-of-fd,"Here's how to track the KYC status of your FD:nn- Press on â€˜MY ORDERSâ€™ button belown- Select the fixed deposit for which you want to check the statusnnYou will be able to view the order tracking screen, which will give you an update on your order status.n",,FDs,DP_FD_HOW_TO,DEFAULT,
How to withdraw/redeem my Equitas Bank fixed deposit?,how-to-withdraw-redeem-my-equitas-bank-fixed-deposit,"- Press the â€˜DEPOSITSâ€™ button belown- Next to the fixed deposit you want to withdraw, click on the menu with 3 dotsn- Click on 'withdraw'n- Review if any penalty charges are applicablen- Proceed to confirmnnNote: Currently, you can only withdraw the e",,FDs,DP_FD_WITHDRAW,Equitas Bank,
How to withdraw/redeem my fixed deposit?,how-to-withdraw-redeem-my-fixed-deposit,"- Press the â€˜DASHBOARDâ€™ button belown- Next to the fixed deposit you want to withdraw, click on the menu with 3 dotsn- Click on 'withdraw'n- Review if any penalty charges are applicablen- Proceed to confirmnnNote: Currently, you can only withdraw the ",,FDs,DP_FD_WITHDRAW,DEFAULT,
How will I receive Bajaj Finance - Fixed Deposit Receipt?,how-will-i-receive-bajaj-finance---fixed-deposit-receipt,Bajaj Finance will courier Fixed Deposit Receipt (FDR) certificate to your registered address within 3 weeks of opening the FD.,,FDs,DP_FD_ORDERS,Bajaj Finance,
I have lost my FD certificate/Receipt for Bajaj Finance FD. How to get a new FD certificate?,i-have-lost-my-fd-certificate-receipt-for-bajaj-finance-fd-how-to-get-a-new-fd-certificate,Please submit a written request duly signed by all the FD account holders at your nearest branch. The list of branches is available on Bajaj Finance website.,,FDs,DP_FD_ORDERS,Bajaj Finance,
I have submitted form 15G/H. Will TDS be deducted anyway?,i-have-submitted-form-15g-h-will-tds-be-deducted-anyway,"Once approved by the bank, TDS will not be deducted.",,FDs,DP_FD_TAXATION,Form 15G/15H,
"In spite of submitting form 15 G/H, my TDS got deducted for Bajaj Finance FD. Whom should I get in touch with?",in-spite-of-submitting-form-15-g-h-my-tds-got-deducted-for-bajaj-finance-fd-whom-should-i-get-in-touch-with,You can send an email to fd@bajajfinserv.in. Bajaj Finance will initiate a refund if there is a refund owed.,,FDs,DP_FD_TAXATION,Bajaj Finance,
My fixed deposit order failed. When will I get the refund?,my-fixed-deposit-order-failed-when-will-i-get-the-refund,You will receive the refund amount in your bank account within 5-7 working days.,,FDs,DP_FD_ORDERS,Refund,
My issue is not listed here.,my-issue-is-not-listed-here-1,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,FDs,DP_FD_ABOUT,Eligibility,
My issue is not listed here.,my-issue-is-not-listed-here-2,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,FDs,DP_FD_HOW_TO,DEFAULT,
My issue is not listed here.,my-issue-is-not-listed-here-3,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,FDs,DP_FD_ORDERS,Bajaj Finance,
My issue is not listed here.,my-issue-is-not-listed-here-4,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,FDs,DP_FD_TAXATION,Form 15G/15H,
My issue is not listed here.,my-issue-is-not-listed-here-5,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,FDs,DP_FD_WITHDRAW,Bajaj Finance,
The bank has changed the interest rates. Will that be applicable to my existing deposit?,the-bank-has-changed-the-interest-rates-will-that-be-applicable-to-my-existing-deposit,"No. FD is locked at a specific rate. You will continue to receive that rate till maturity. nnIf you wish to avail the new rate, you need to invest in a new fixed deposit.",,FDs,DP_FD_ABOUT,About,
What are tax-saver deposits?,what-are-tax-saver-deposits,"Tax-saver deposits are a type of fixed deposits. nnIf you invest in tax-saver deposits, you can get tax deductions of up to Rs.1.5 lakh in a financial year under section 80C of the Income Tax Act. nnThe lock-in period for tax-saver deposits is 5 years (minimum).",,FDs,DP_FD_ABOUT,About,
What happens to my FD if I go abroad and become an NRI?,what-happens-to-my-fd-if-i-go-abroad-and-become-an-nri,"In such a case, you have to inform Bajaj Finance Ltd by writing an email to fd@bajajfinserv.in, and submitting relevant documents. nnFrom the date of receipt of such documents, they will change the status of the deposit as NRI and taxation guidelines will apply accordingly.",,FDs,DP_FD_ORDERS,Bajaj Finance,
What is Form 15G/H for FD?,what-is-form-15g-h-for-fd,Individuals having an annual income below the taxable limit can submit form 15G/H to refrain from paying TDS on FDs.,,FDs,DP_FD_TAXATION,Form 15G/15H,
What is the eligibility for senior citizens fixed deposits?,what-is-the-eligibility-for-senior-citizens-fixed-deposits,Any individual above 60 years of age on the date of issuance of the fixed deposit will be considered as a senior citizen and will be eligible to avail higher interest rates.,,FDs,DP_FD_ABOUT,Eligibility,
What is the minimum/maximum amount for opening a fixed deposit?,what-is-the-minimum-maximum-amount-for-opening-a-fixed-deposit,The amount for opening a fixed deposit may vary based on the type of fixed deposit.nnPlease refer to the â€˜Deposit Detailsâ€™ section of any fixed deposit for more information.,,FDs,DP_FD_ABOUT,About,
What is the minimum/maximum tenure for opening a fixed deposit?,what-is-the-minimum-maximum-tenure-for-opening-a-fixed-deposit,You can choose any tenure between 7 days and 10 years. nnIt also depends on the products offered by the bank.,,FDs,DP_FD_ABOUT,About,
What is the penalty of closing FD prematurely for Bajaj Finance Limited?,what-is-the-penalty-of-closing-fd-prematurely-for-bajaj-finance-limited,- Up to 3 Months â€“ no withdrawal (lock-in period) n- 3 to 6 Months â€“ 0% interestn- 6 to < 12 Months â€“ 3% lower than the lowest rate specified by Bajaj Finance at the time of placing the depositn- 12 Months & above â€“ 2% lower than the rate specifie,,FDs,DP_FD_WITHDRAW,Bajaj Finance,
What is the tax applicable on the Bajaj Finance FD?,what-is-the-tax-applicable-on-the-bajaj-finance-fd,"- Interest earned on FDs is taxablen- There is no tax deduction for interest amount up to Rs 5,000 in a yearn- If interest exceeds Rs 5000 in a year, then tax will be deducted at a rate of 7.5%. However, tax will not be deducted in case of submission of t",,FDs,DP_FD_TAXATION,Bajaj Finance,
What is the tax implication on FD?,what-is-the-tax-implication-on-fd,TDS of 10% is deducted by the bank if the annual interest earned is more than Rs 40000 or Rs 50000 in case of senior citizens.,,FDs,DP_FD_TAXATION,Tax Implication,
Whatâ€™s the penalty for premature withdrawal of Equitas Bank fixed deposit?,whats-the-penalty-for-premature-withdrawal-of-equitas-bank-fixed-deposit,"A penalty of 1% on the applicable interest rate is applicable if your fixed deposit is less than 6 months old. After 6 months, no penalty will be charged for premature withdrawal.nnNote: Premature withdrawal is not applicable for tax-saver deposits.",,FDs,DP_FD_WITHDRAW,Equitas Bank,
When will TDS certificate be provided to the depositor of Bajaj Finance FD?,when-will-tds-certificate-be-provided-to-the-depositor-of-bajaj-finance-fd,The TDS certificate will be emailed to the depositor every quarter.,,FDs,DP_FD_TAXATION,Bajaj Finance,
When will there be no penalty on premature withdrawals for Equitas Bank fixed deposit?,when-will-there-be-no-penalty-on-premature-withdrawals-for-equitas-bank-fixed-deposit,No penalty will be applicable if your fixed deposit is more than 6 months old.nnNote: Premature withdrawal is not applicable for tax-saver deposits.,,FDs,DP_FD_WITHDRAW,Equitas Bank,
Where can I submit the 15G/H form?,where-can-i-submit-the-15g-h-form,"Once FD is booked, 15G/H form can be submitted online on Bajaj Finance's customer portal 'EXPERIA' (button below). nnYour mobile number is the login credential for Experia.""",,FDs,DP_FD_TAXATION,Form 15G/15H,
Where will my fixed deposit amount get credited after maturity?,where-will-my-fixed-deposit-amount-get-credited-after-maturity,"Once matured, your fixed deposit amount will be credited to the same bank account you used for payment.",,FDs,DP_FD_ORDERS,Payment,
Who is eligible for form 15G/H?,who-is-eligible-for-form-15g-h,Individuals having an annual income below the taxable limit can submit form 15G/H to refrain from paying TDS on FDs.,,FDs,DP_FD_TAXATION,Form 15G/15H,
Who is eligible to invest in FDs through Groww?,who-is-eligible-to-invest-in-fds-through-groww,A resident individual with more than 18 years of age as on date of application is eligible to invest FDs.,,FDs,DP_FD_ABOUT,Eligibility,
Why can't I use Groww Balance for FDs?,why-cant-i-use-groww-balance-for-fds,"Due to banking regulations, money in your Groww Balance cannot be used for FDs. nnAll FD transactions have to be between your bank account (added on Groww) and the FD issuing bank directly. ",,FDs,DP_FD_ORDERS,Payment,
Why did my fixed deposit investment fail?,why-did-my-fixed-deposit-investment-fail,"Your fixed deposit investment may fail due to:nn-incorrect/mismatched data in the KYC documents submitted resulting in KYC rejectionn-payment issues while booking the fixed depositnnPlease re-upload your documents or retry making the payment.nnIf this is a recurring issue, please raise a ticket. We'll resolve this issue as soon as possible. ",,FDs,DP_FD_ORDERS,Payment,
How do I import my external mutual fund investments?,how-do-i-import-my-external-mutual-fund-investments-1,,"<p>1. Tap on the 'IMPORT' button below. 2. Now, tap on 'Connect with Google'.&nbsp; 3. Choose the email ID in which you receive statements of your external mutual funds.&nbsp; 4. Continue on with the next steps. Give permission to Groww to read your email.&nbsp; In 1-2 days, you will be able to see your external investments on the dashboard. Your imported investments will be updated every 30 days.&nbsp; Note: Groww does not have access to any of your emails except the ones that come from donotreply@camsonline.com and samfS@kfintech.com.&nbsp; Groww can only read messages that are from CAMS and Karvy so as to be able to read the mutual funds' statements.&nbsp;</p>",Mutual Funds,MF_DASHBOARD,External Funds,"import mutual funds, track on groww, external mutual funds, move to groww, see on groww, transfer to grow, kuvera, paytm, et money, funds india"""
My NFO order is not yet completed.,my-nfo-order-is-not-yet-completed,,"NFO investment usually takes a lot more time than normal mutual funds. nnAfter an NFO closes, your unit will be allocated in about 7 working days. nnKeep in mind, the unit allocation takes place after the NFO closes and not from the date you made an investment. nnCheck the closing date for the NFO you invested in to get an idea of when your unit allocation will take place. nnIf you still think it is taking too long, please contact us. We'll resolve this as soon as possible. ",Mutual Funds,MF_OTHERS,NFO,"investment, redemption, redeem, buy, sell, request, over, successful, finished, finish, over, new fund offer, new fund investment, new mutual fund """
My external SIP was not automatically imported.,my-external-sip-was-not-automatically-imported-1,,"<p>External SIP cannot be imported. When you import a SIP on Groww, make sure you cancel the old SIP and start a new SIP in the same fund on Groww.</p>",Mutual Funds,MF_DASHBOARD,External Funds,"imported funds, tracked funds, external funds, external investments"""
My external investments were not imported properly.,my-external-investments-were-not-imported-properly,,Please contact us. We will resolve this issue as soon as possible.,Mutual Funds,MF_DASHBOARD,External Funds,"imported funds, tracked funds, external funds, external investments"""
My issue is not listed here.,my-issue-is-not-listed-here-12,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Mutual Funds,MF_DASHBOARD,External Funds,"0"""
